Pivots,Query Objects, Cluster Level, BTree degree, Range, Max Leaf Objects, Average, Standard Deviation
10,100,2,50,0.15,10,3912.75,157.4550332634686
10,100,2,100,0.15,10,3857.5,116.95618837838381
10,100,2,500,0.15,10,3777.8,137.0520339141306
10,100,2,50,0.15,20,3920.95,108.85287088542957
10,100,2,100,0.15,20,3876.6,114.80522636186909
10,100,2,500,0.15,20,3727.25,146.39667858254163
10,100,2,50,0.15,50,3871.05,130.00056730645449
10,100,2,100,0.15,50,3828.2,143.75277388628018
10,100,2,500,0.15,50,3692.35,143.38140569822852
10,100,2,50,0.15,100,3934.7,124.40221059129134
10,100,2,100,0.15,100,3837.5,99.3033232072321
10,100,2,500,0.15,100,3681.15,128.387022319236
10,100,2,50,0.15,200,3887.9,106.67000515608875
10,100,2,100,0.15,200,3857.7,134.74646563082834
10,100,2,500,0.15,200,3712.6,152.6326963661456
10,100,2,50,0.15,300,3916.9,123.97294059592198
10,100,2,100,0.15,300,3856.8,128.30767708909704
10,100,2,500,0.15,300,3681.1,109.9744970436328
10,100,2,50,0.15,500,3897.25,151.30362685672804
10,100,2,100,0.15,500,3857.9,118.35239752535645
10,100,2,500,0.15,500,3660,162.57552091259004
10,100,3,50,0.15,10,3614.35,119.14582451768925
10,100,3,100,0.15,10,3694.15,187.16630973548632
10,100,3,500,0.15,10,3567.45,172.18143773357218
10,100,3,50,0.15,20,3741.15,142.93959388496947
10,100,3,100,0.15,20,3685.4,146.27453640329887
10,100,3,500,0.15,20,3500.05,139.83364223247565
10,100,3,50,0.15,50,3680.5,166.71787546630983
10,100,3,100,0.15,50,3603.7,156.6678333289894
10,100,3,500,0.15,50,3589.65,157.1621058016213
10,100,3,50,0.15,100,3694.7,206.61004331832467
10,100,3,100,0.15,100,3749.4,127.39050200073787
10,100,3,500,0.15,100,3585.55,172.87726137349586
10,100,3,50,0.15,200,3742.35,148.03015740044324
10,100,3,100,0.15,200,3722.3,133.1518306295486
10,100,3,500,0.15,200,3568.05,168.7813600490291
10,100,3,50,0.15,300,3722.35,155.18836135483872
10,100,3,100,0.15,300,3768.25,104.7902070806237
10,100,3,500,0.15,300,3582.1,146.2203474212806
10,100,3,50,0.15,500,3650.8,144.17232744184994
10,100,3,100,0.15,500,3623.55,139.7588905937651
10,100,3,500,0.15,500,3608.75,140.76891524764977
10,100,4,50,0.15,10,3585.15,143.0654657840249
10,100,4,100,0.15,10,3543.9,164.98572665536858
10,100,4,500,0.15,10,3485.2,201.25173291179382
10,100,4,50,0.15,20,3591.45,125.00658982629676
10,100,4,100,0.15,20,3598.45,263.5246620337459
10,100,4,500,0.15,20,3516.4,179.59409789856682
10,100,4,50,0.15,50,3656.6,143.7102640732387
10,100,4,100,0.15,50,3629.2,155.08404173221692
10,100,4,500,0.15,50,3661.55,138.3378021366539
10,100,4,50,0.15,100,3671.55,133.37596297684226
10,100,4,100,0.15,100,3542.6,124.6356289349077
10,100,4,500,0.15,100,3679.95,137.65045404937828
10,100,4,50,0.15,200,3754.75,145.96330874572556
10,100,4,100,0.15,200,3683.2,120.00024999973958
10,100,4,500,0.15,200,3593.2,129.30336422537505
10,100,4,50,0.15,300,3829.35,75.04883410153685
10,100,4,100,0.15,300,3735.1,114.52462617271448
10,100,4,500,0.15,300,3700.75,111.04903196336292
10,100,4,50,0.15,500,3902.25,111.37229233521235
10,100,4,100,0.15,500,3799.65,58.622755820585574
10,100,4,500,0.15,500,3743.9,97.30411091007409
20,100,2,50,0.15,10,4131.85,168.82484266244705
20,100,2,100,0.15,10,4010.55,163.30660580637883
20,100,2,500,0.15,10,3968.25,172.02467119573285
20,100,2,50,0.15,20,4140.3,168.4449761791666
20,100,2,100,0.15,20,4059.55,184.7348031638868
20,100,2,500,0.15,20,3962.4,172.68335183219025
20,100,2,50,0.15,50,4161.5,209.36152941741707
20,100,2,100,0.15,50,4006.3,159.75766022322685
20,100,2,500,0.15,50,4010.75,180.54137337463675
20,100,2,50,0.15,100,4112.65,213.5025234042914
20,100,2,100,0.15,100,4028.15,214.9998313952827
20,100,2,500,0.15,100,3960.15,236.4318665070341
20,100,2,50,0.15,200,4177.35,173.23835458696783
20,100,2,100,0.15,200,4126.9,223.37567011651024
20,100,2,500,0.15,200,3948,197.96716899526547
20,100,2,50,0.15,300,4105.05,206.2322659042469
20,100,2,100,0.15,300,4068.7,175.63943179138334
20,100,2,500,0.15,300,3948.1,138.12454524812017
20,100,2,50,0.15,500,4101.55,164.0022789475805
20,100,2,100,0.15,500,4110.8,273.1037531781649
20,100,2,500,0.15,500,3947.95,192.15995290382438
20,100,3,50,0.15,10,3854.65,180.2166127192496
20,100,3,100,0.15,10,3681.2,78.65405266100406
20,100,3,500,0.15,10,3600.55,67.55403392840431
20,100,3,50,0.15,20,3740.5,137.05126777961596
20,100,3,100,0.15,20,3738.35,135.0223222285856
20,100,3,500,0.15,20,3861.85,210.37782083670322
20,100,3,50,0.15,50,3753.15,152.61987911147094
20,100,3,100,0.15,50,3784.7,142.48371836809986
20,100,3,500,0.15,50,3687.95,99.76395892304996
20,100,3,50,0.15,100,3754.3,161.7037723740544
20,100,3,100,0.15,100,3810.9,186.23450271096385
20,100,3,500,0.15,100,3782.1,189.92574864930768
20,100,3,50,0.15,200,3899.7,158.9204517990054
20,100,3,100,0.15,200,3890.4,202.61747209952057
20,100,3,500,0.15,200,3911,227.0713544241105
20,100,3,50,0.15,300,3957.15,169.8653216521842
20,100,3,100,0.15,300,3937.55,171.05422385898572
20,100,3,500,0.15,300,3866.05,129.66166549909806
20,100,3,50,0.15,500,4022.45,181.07028331562304
20,100,3,100,0.15,500,4090.6,186.31918849114817
20,100,3,500,0.15,500,3978.3,161.5128787434612
20,100,4,50,0.15,10,3756.15,156.176590755465
20,100,4,100,0.15,10,3775.8,144.7506822091005
20,100,4,500,0.15,10,3725.2,168.56529892003277
20,100,4,50,0.15,20,3832.65,187.51513938879708
20,100,4,100,0.15,20,3804.9,168.39444765193417
20,100,4,500,0.15,20,3748.95,146.4539091318494
20,100,4,50,0.15,50,3736.6,155.15617938064858
20,100,4,100,0.15,50,3731.05,157.25567557325238
20,100,4,500,0.15,50,3686.6,169.00189348051697
20,100,4,50,0.15,100,3795.9,157.72092442031908
20,100,4,100,0.15,100,3831.2,177.91587899903706
20,100,4,500,0.15,100,3790.9,151.9657527208022
20,100,4,50,0.15,200,3903.45,163.93580298397296
20,100,4,100,0.15,200,3893.4,159.09223739705214
20,100,4,500,0.15,200,3867.85,192.12398991276442
20,100,4,50,0.15,300,3970.8,159.27573575406896
20,100,4,100,0.15,300,3971.2,159.7243250103127
20,100,4,500,0.15,300,3911,152.8842699560684
20,100,4,50,0.15,500,3987.05,174.68900222967673
20,100,4,100,0.15,500,3987.95,189.8940428238864
20,100,4,500,0.15,500,3955.4,180.1880684174177
30,100,2,50,0.15,10,4276.05,184.81084248495813
30,100,2,100,0.15,10,4229.35,232.81028220420163
30,100,2,500,0.15,10,4248.25,220.94317708406385
30,100,2,50,0.15,20,4234.55,156.12510208163195
30,100,2,100,0.15,20,4246.45,190.90009821893756
30,100,2,500,0.15,20,4219.5,241.2023009840495
30,100,2,50,0.15,50,4265.65,127.8856031772146
30,100,2,100,0.15,50,4271.5,85.5987733556971
30,100,2,500,0.15,50,4137,185.65667238211506
30,100,2,50,0.15,100,4288.6,203.53731844553715
30,100,2,100,0.15,100,4289.6,221.73777305637395
30,100,2,500,0.15,100,4185.65,141.63377951604625
30,100,2,50,0.15,200,4303.1,191.4486615257469
30,100,2,100,0.15,200,4232.1,195.04355923741753
30,100,2,500,0.15,200,4143.35,171.73417685481243
30,100,2,50,0.15,300,4224.65,184.59341131253845
30,100,2,100,0.15,300,4249.3,172.54451599514834
30,100,2,500,0.15,300,4142,129.46080487931474
30,100,2,50,0.15,500,4252.8,109.87156137964
30,100,2,100,0.15,500,4217.25,138.70215391261954
30,100,2,500,0.15,500,4143.35,146.3804204803361
30,100,3,50,0.15,10,3979.65,118.43068647947625
30,100,3,100,0.15,10,4041.55,229.13979903107187
30,100,3,500,0.15,10,3936,137.51763523272206
30,100,3,50,0.15,20,4095.35,177.09214409453628
30,100,3,100,0.15,20,4004.6,134.05722658626055
30,100,3,500,0.15,20,4062.35,167.58468754632685
30,100,3,50,0.15,50,4113.35,182.7660458072013
30,100,3,100,0.15,50,4028.7,176.69779285548532
30,100,3,500,0.15,50,4063.1,167.08408063008278
30,100,3,50,0.15,100,4119.85,167.1132176100981
30,100,3,100,0.15,100,4095.55,152.85335292364377
30,100,3,500,0.15,100,4066.55,152.4819579491292
30,100,3,50,0.15,200,4236.75,169.59212098443723
30,100,3,100,0.15,200,4277.3,162.42724525152792
30,100,3,500,0.15,200,4224.8,212.24434032501316
30,100,3,50,0.15,300,4311.85,197.01301352956358
30,100,3,100,0.15,300,4232.15,182.0780807785495
30,100,3,500,0.15,300,4292.35,78.35067006733254
30,100,3,50,0.15,500,4394.8,179.50309189537654
30,100,3,100,0.15,500,4428.3,252.84048330914098
30,100,3,500,0.15,500,4372.8,213.26898508690851
30,100,4,50,0.15,10,4163.15,120.72707856980554
30,100,4,100,0.15,10,4194.25,152.9901549120073
30,100,4,500,0.15,10,4165.55,198.65182480913685
30,100,4,50,0.15,20,4245.55,236.39278225022016
30,100,4,100,0.15,20,4164.75,135.3735110721444
30,100,4,500,0.15,20,4105.75,81.69998470012096
30,100,4,50,0.15,50,4177.55,160.04639171190334
30,100,4,100,0.15,50,4138.1,133.8061657772167
30,100,4,500,0.15,50,4121.35,210.5032719460674
30,100,4,50,0.15,100,4266.2,241.56274547206155
30,100,4,100,0.15,100,4205.2,164.25273209295486
30,100,4,500,0.15,100,4186.4,201.4066533161206
30,100,4,50,0.15,200,4367.2,155.97679314564715
30,100,4,100,0.15,200,4290.7,161.256348712229
30,100,4,500,0.15,200,4329.75,214.93810155484297
30,100,4,50,0.15,300,4163.1,152.1955649813752
30,100,4,100,0.15,300,4187.5,162.7017209497183
30,100,4,500,0.15,300,4181.7,208.3432504306295
30,100,4,50,0.15,500,4476.6,213.59995318351548
30,100,4,100,0.15,500,4475.15,221.2684512080292
30,100,4,500,0.15,500,4375.2,169.65571018978406
50,100,2,50,0.15,10,3949.65,167.65031315210837
50,100,2,100,0.15,10,3895.5,175.46894312099792
50,100,2,500,0.15,10,3882.75,190.90020298574854
50,100,2,50,0.15,20,3943.15,198.8150585343072
50,100,2,100,0.15,20,3973.35,171.28288735305696
50,100,2,500,0.15,20,3842.2,152.58623791154955
50,100,2,50,0.15,50,3917.8,176.49152954178848
50,100,2,100,0.15,50,3944.15,208.314011770692
50,100,2,500,0.15,50,3951,157.1352920256936
50,100,2,50,0.15,100,3917.45,162.11985535399418
50,100,2,100,0.15,100,4003.65,185.2169741141454
50,100,2,500,0.15,100,3905.65,160.72904995675174
50,100,2,50,0.15,200,3952.1,194.55844880138204
50,100,2,100,0.15,200,3979.7,208.31252962796069
50,100,2,500,0.15,200,3874.55,172.02891472075268
50,100,2,50,0.15,300,3945.9,171.67553698765587
50,100,2,100,0.15,300,3964.45,183.47001798659093
50,100,2,500,0.15,300,3897.85,184.47717338467652
50,100,2,50,0.15,500,3934.95,170.02307931572113
50,100,2,100,0.15,500,3917.9,167.15349233563742
50,100,2,500,0.15,500,3864.85,163.37358262583336
50,100,3,50,0.15,10,3905.95,162.44275145416614
50,100,3,100,0.15,10,3879.85,162.37834677074403
50,100,3,500,0.15,10,3861,154.03895611175764
50,100,3,50,0.15,20,3909.4,187.02871437295397
50,100,3,100,0.15,20,3915.9,164.0764760713735
50,100,3,500,0.15,20,3862.8,145.34428093323797
50,100,3,50,0.15,50,3943.8,214.71366980236726
50,100,3,100,0.15,50,3922.55,137.53453202741485
50,100,3,500,0.15,50,3824.55,174.6675341899576
50,100,3,50,0.15,100,3871.9,147.55809025600732
50,100,3,100,0.15,100,3905.45,135.92956815939644
50,100,3,500,0.15,100,3885.25,132.73992428806037
50,100,3,50,0.15,200,3981,124.29038579069582
50,100,3,100,0.15,200,3995.95,139.57846359664515
50,100,3,500,0.15,200,3968.25,112.97826118329137
50,100,3,50,0.15,300,3936.85,140.98201126384885
50,100,3,100,0.15,300,3953.15,128.3005358523494
50,100,3,500,0.15,300,3920.6,129.9262867937047
50,100,3,50,0.15,500,4127,179.24145725807966
50,100,3,100,0.15,500,4094.2,142.75944802358967
50,100,3,500,0.15,500,4029.75,156.76985520182123
50,100,4,50,0.15,10,4124.25,137.40337514049645
50,100,4,100,0.15,10,4084.15,105.16381269238958
50,100,4,500,0.15,10,4179.25,184.43776050472962
50,100,4,50,0.15,20,4006.25,102.87996646577992
50,100,4,100,0.15,20,4132.65,201.71893193252833
50,100,4,500,0.15,20,4027.8,108.67133936783884
50,100,4,50,0.15,50,4007.75,246.98074317646712
50,100,4,100,0.15,50,4067.95,251.11301738460313
50,100,4,500,0.15,50,3961.9,130.62729423822574
50,100,4,50,0.15,100,3926,164.80867695603894
50,100,4,100,0.15,100,3966.95,205.5617851158138
50,100,4,500,0.15,100,3912.7,94.09628047909227
50,100,4,50,0.15,200,4031.95,134.178044031056
50,100,4,100,0.15,200,4117.45,217.25502871049957
50,100,4,500,0.15,200,4061.6,132.1485527730062
50,100,4,50,0.15,300,3951.2,125.1865008697024
50,100,4,100,0.15,300,3981.1,131.45337576494566
50,100,4,500,0.15,300,3977.95,125.07176939661484
50,100,4,50,0.15,500,4058.7,171.5508962378221
50,100,4,100,0.15,500,4093.65,165.06401031115172
50,100,4,500,0.15,500,4059.75,164.2552510576146
10,100,2,50,0.15,null,4002.25,122.05977019476974
10,100,2,100,0.15,null,3958.55,118.10227559196308
10,100,2,500,0.15,null,3802.55,133.06144257447383
10,100,3,50,0.15,null,3825.6,138.01463690493122
10,100,3,100,0.15,null,3739.8,180.94076378748932
10,100,3,500,0.15,null,3711.4,191.95947488988398
10,100,4,50,0.15,null,3732.6,220.25494319083964
10,100,4,100,0.15,null,3645.8,148.40741221381094
10,100,4,500,0.15,null,3589.1,190.89444727387962
20,100,2,50,0.15,null,4251.85,172.90033979145326
20,100,2,100,0.15,null,4177.15,169.63115132545673
20,100,2,500,0.15,null,4124.9,124.72926681416835
20,100,3,50,0.15,null,3972.1,172.70086855600928
20,100,3,100,0.15,null,3972.7,166.08193760912113
20,100,3,500,0.15,null,3938.25,165.70300993041738
20,100,4,50,0.15,null,3996.55,141.59359978473603
20,100,4,100,0.15,null,3969.85,172.67491856086104
20,100,4,500,0.15,null,3935.4,188.52384464571054
30,100,2,50,0.15,null,4310.8,116.1695312894048
30,100,2,100,0.15,null,4305.8,153.85629658873242
30,100,2,500,0.15,null,4343.65,162.92644812920952
30,100,3,50,0.15,null,4163.2,169.84481151922185
30,100,3,100,0.15,null,4205.5,168.33374587408196
30,100,3,500,0.15,null,4147,202.43492781632324
30,100,4,50,0.15,null,4255.5,163.05045231461335
30,100,4,100,0.15,null,4267.75,84.94461430838332
30,100,4,500,0.15,null,4249.65,218.67790812059638
50,100,2,50,0.15,null,3996.9,207.575022582198
50,100,2,100,0.15,null,3942.2,210.62540207676756
50,100,2,500,0.15,null,3953,185.17208212902938
50,100,3,50,0.15,null,4004.3,159.8515248597898
50,100,3,100,0.15,null,3984.35,171.05767302287262
50,100,3,500,0.15,null,3897.65,166.91473122525764
50,100,4,50,0.15,null,4441.5,197.95188809405178
50,100,4,100,0.15,null,4450.75,190.9489133250043
50,100,4,500,0.15,null,4372.25,173.510194225008
